station_id,event_time,outdoor_temperature,outdoor_humidity,dew_point
196839,2024-11-23 01:15:00.000000 UTC,30.1,76,25.4
193255,2024-09-23 00:15:00.000000 UTC,30.1,76,25.4
193255,2024-09-23 00:20:00.000000 UTC,30.0,77,25.5
193255,2024-09-23 00:25:00.000000 UTC,29.9,78,25.6
193255,2024-09-23 00:30:00.000000 UTC,29.8,79,25.7
193255,2024-09-23 00:35:00.000000 UTC,29.7,79,25.6
193255,2024-09-23 00:40:00.000000 UTC,29.6,80,25.7
193255,2024-09-23 00:45:00.000000 UTC,29.4,79,25.4
193255,2024-09-23 00:50:00.000000 UTC,29.3,79,25.3
193255,2024-09-23 00:55:00.000000 UTC,29.2,79,25.2
193255,2024-09-23 01:00:00.000000 UTC,29.1,79,25.1
193255,2024-09-23 01:05:00.000000 UTC,29.1,79,25.0
193255,2024-09-23 01:10:00.000000 UTC,29.0,80,25.2
193255,2024-09-23 01:15:00.000000 UTC,28.9,80,25.1
193255,2024-09-23 01:20:00.000000 UTC,28.9,80,25.1
193255,2024-09-23 01:25:00.000000 UTC,28.9,81,25.3
193255,2024-09-23 01:30:00.000000 UTC,28.8,81,25.2
193255,2024-09-23 01:35:00.000000 UTC,28.8,82,25.5
193255,2024-09-23 01:40:00.000000 UTC,28.8,82,25.5
193255,2024-09-23 01:45:00.000000 UTC,28.9,82,25.5
193255,2024-09-23 01:50:00.000000 UTC,28.9,82,25.6
193255,2024-09-23 01:55:00.000000 UTC,28.9,83,25.7
193255,2024-09-23 02:00:00.000000 UTC,28.9,82,25.5
193255,2024-09-23 02:05:00.000000 UTC,28.9,82,25.6
193255,2024-09-23 02:10:00.000000 UTC,28.9,82,25.5
193255,2024-09-23 02:15:00.000000 UTC,28.9,83,25.7
193255,2024-09-23 02:20:00.000000 UTC,28.8,83,25.7
193255,2024-09-23 02:25:00.000000 UTC,28.9,84,25.9
193255,2024-09-23 02:30:00.000000 UTC,28.8,82,25.5
193255,2024-09-23 02:35:00.000000 UTC,28.8,83,25.7
193255,2024-09-23 02:40:00.000000 UTC,28.8,83,25.7
193255,2024-09-23 02:45:00.000000 UTC,28.8,83,25.7
193255,2024-09-23 02:50:00.000000 UTC,28.8,84,25.9
193255,2024-09-23 02:55:00.000000 UTC,28.8,83,25.7
193255,2024-09-23 03:00:00.000000 UTC,28.9,84,26.0
193255,2024-09-23 03:05:00.000000 UTC,28.9,85,26.2
193255,2024-09-23 03:10:00.000000 UTC,28.9,84,26.0
193255,2024-09-23 03:15:00.000000 UTC,28.9,84,26.0
193255,2024-09-23 03:20:00.000000 UTC,28.9,84,26.0
193255,2024-09-23 03:25:00.000000 UTC,29.0,84,26.0
193255,2024-09-23 03:30:00.000000 UTC,29.0,84,26.0
193255,2024-09-23 03:35:00.000000 UTC,29.0,84,26.0
193255,2024-09-23 03:40:00.000000 UTC,29.0,84,26.0
193255,2024-09-23 03:45:00.000000 UTC,29.0,85,26.2
193255,2024-09-23 03:50:00.000000 UTC,28.9,85,26.2
193255,2024-09-23 03:55:00.000000 UTC,28.9,84,26.0
193255,2024-09-23 04:00:00.000000 UTC,28.9,85,26.1
193255,2024-09-23 04:05:00.000000 UTC,28.9,85,26.1
193255,2024-09-23 04:10:00.000000 UTC,28.9,85,26.1
193255,2024-09-23 04:15:00.000000 UTC,28.9,84,25.9
193255,2024-09-23 04:20:00.000000 UTC,28.9,84,26.0
193255,2024-09-23 04:25:00.000000 UTC,28.9,85,26.2
193255,2024-09-23 04:30:00.000000 UTC,28.9,86,26.4
193255,2024-09-23 04:35:00.000000 UTC,28.9,85,26.2
193255,2024-09-23 04:40:00.000000 UTC,28.9,85,26.2
193255,2024-09-23 04:45:00.000000 UTC,28.9,84,26.0
193255,2024-09-23 04:50:00.000000 UTC,29.0,85,26.2
193255,2024-09-23 04:55:00.000000 UTC,29.1,84,26.1
193255,2024-09-23 05:00:00.000000 UTC,29.1,85,26.3
193255,2024-09-23 05:05:00.000000 UTC,29.0,84,26.0
193255,2024-09-23 05:10:00.000000 UTC,28.9,85,26.2
193255,2024-09-23 05:15:00.000000 UTC,28.8,85,26.1
193255,2024-09-23 05:20:00.000000 UTC,28.6,85,25.8
193255,2024-09-23 05:25:00.000000 UTC,28.4,85,25.7
193255,2024-09-23 05:30:00.000000 UTC,28.2,86,25.7
193255,2024-09-23 05:35:00.000000 UTC,28.1,87,25.7
193255,2024-09-23 05:40:00.000000 UTC,28.0,87,25.6
193255,2024-09-23 05:45:00.000000 UTC,28.0,88,25.8
193255,2024-09-23 05:50:00.000000 UTC,28.0,88,25.8
193255,2024-09-23 05:55:00.000000 UTC,28.0,87,25.6
193255,2024-09-23 06:00:00.000000 UTC,28.0,87,25.6
193255,2024-09-23 06:05:00.000000 UTC,28.1,87,25.7
193255,2024-09-23 06:10:00.000000 UTC,28.1,88,25.9
193255,2024-09-23 06:15:00.000000 UTC,28.1,87,25.7
193255,2024-09-23 06:20:00.000000 UTC,28.1,88,25.9
193255,2024-09-23 06:25:00.000000 UTC,28.1,87,25.7
193255,2024-09-23 06:30:00.000000 UTC,28.2,86,25.6
193255,2024-09-23 06:35:00.000000 UTC,28.1,87,25.7
193255,2024-09-23 06:40:00.000000 UTC,28.1,86,25.5
193255,2024-09-23 06:45:00.000000 UTC,28.1,86,25.5
193255,2024-09-23 06:50:00.000000 UTC,28.0,87,25.6
193255,2024-09-23 06:55:00.000000 UTC,27.9,87,25.6
193255,2024-09-23 07:00:00.000000 UTC,27.9,87,25.5
193255,2024-09-23 07:05:00.000000 UTC,27.8,87,25.5
193255,2024-09-23 07:10:00.000000 UTC,27.6,87,25.2
193255,2024-09-23 07:15:00.000000 UTC,27.4,88,25.3
193255,2024-09-23 07:20:00.000000 UTC,27.5,88,25.3
193255,2024-09-23 07:25:00.000000 UTC,27.4,88,25.3
193255,2024-09-23 07:30:00.000000 UTC,27.3,87,24.9
193255,2024-09-23 07:35:00.000000 UTC,27.2,88,25.1
193255,2024-09-23 07:40:00.000000 UTC,27.1,89,25.1
193255,2024-09-23 07:45:00.000000 UTC,27.1,90,25.3
193255,2024-09-23 07:50:00.000000 UTC,27.1,90,25.3
193255,2024-09-23 07:55:00.000000 UTC,27.2,90,25.4
193255,2024-09-23 08:00:00.000000 UTC,27.2,89,25.2
193255,2024-09-23 08:05:00.000000 UTC,27.1,90,25.3
193255,2024-09-23 08:10:00.000000 UTC,27.1,90,25.3
193255,2024-09-23 08:15:00.000000 UTC,27.2,91,25.6
193255,2024-09-23 08:20:00.000000 UTC,27.3,91,25.7
193255,2024-09-23 08:25:00.000000 UTC,27.3,91,25.7
193255,2024-09-23 08:30:00.000000 UTC,27.3,91,25.7
193255,2024-09-23 08:35:00.000000 UTC,27.4,91,25.8
193255,2024-09-23 08:40:00.000000 UTC,27.4,91,25.8
193255,2024-09-23 08:45:00.000000 UTC,27.4,91,25.8
193255,2024-09-23 08:50:00.000000 UTC,27.3,90,25.5
193255,2024-09-23 08:55:00.000000 UTC,27.3,89,25.3
193255,2024-09-23 09:00:00.000000 UTC,27.2,89,25.2
193255,2024-09-23 09:05:00.000000 UTC,27.1,90,25.3
193255,2024-09-23 09:10:00.000000 UTC,27.1,90,25.3
193255,2024-09-23 09:15:00.000000 UTC,27.1,90,25.3
193255,2024-09-23 09:20:00.000000 UTC,27.1,90,25.3
193255,2024-09-23 09:25:00.000000 UTC,27.1,90,25.3
193255,2024-09-23 09:30:00.000000 UTC,27.1,90,25.3
193255,2024-09-23 09:35:00.000000 UTC,27.0,90,25.2
193255,2024-09-23 09:40:00.000000 UTC,26.9,90,25.2
193255,2024-09-23 09:45:00.000000 UTC,26.8,91,25.2
193255,2024-09-23 09:50:00.000000 UTC,26.8,91,25.2
193255,2024-09-23 09:55:00.000000 UTC,26.8,90,25.0
193255,2024-09-23 10:00:00.000000 UTC,26.7,91,25.1
193255,2024-09-23 10:05:00.000000 UTC,26.8,91,25.2
193255,2024-09-23 10:10:00.000000 UTC,26.7,91,25.1
193255,2024-09-23 10:15:00.000000 UTC,26.8,91,25.2
193255,2024-09-23 10:20:00.000000 UTC,26.8,91,25.2
193255,2024-09-23 10:25:00.000000 UTC,26.8,91,25.2
193255,2024-09-23 10:30:00.000000 UTC,26.8,91,25.2
193255,2024-09-23 10:35:00.000000 UTC,26.8,91,25.2
193255,2024-09-23 10:40:00.000000 UTC,26.8,91,25.2
193255,2024-09-23 10:45:00.000000 UTC,26.8,91,25.2
193255,2024-09-23 10:50:00.000000 UTC,26.7,90,24.9
193255,2024-09-23 10:55:00.000000 UTC,26.6,90,24.8
193255,2024-09-23 11:00:00.000000 UTC,26.4,90,24.6
193255,2024-09-23 11:05:00.000000 UTC,26.3,91,24.7
193255,2024-09-23 11:10:00.000000 UTC,26.2,91,24.6
193255,2024-09-23 11:15:00.000000 UTC,26.3,91,24.7
193255,2024-09-23 11:20:00.000000 UTC,26.4,91,24.8
193255,2024-09-23 11:25:00.000000 UTC,26.4,92,25.0
193255,2024-09-23 11:30:00.000000 UTC,26.5,92,25.1
193255,2024-09-23 11:35:00.000000 UTC,26.5,91,24.9
193255,2024-09-23 11:40:00.000000 UTC,26.5,91,24.9
193255,2024-09-23 11:45:00.000000 UTC,26.5,92,25.1
193255,2024-09-23 11:50:00.000000 UTC,26.6,92,25.1
193255,2024-09-23 11:55:00.000000 UTC,26.6,92,25.1
193255,2024-09-23 12:00:00.000000 UTC,26.7,92,25.3
193255,2024-09-23 12:05:00.000000 UTC,26.6,92,25.1
193255,2024-09-23 12:10:00.000000 UTC,26.5,92,25.1
193255,2024-09-23 12:15:00.000000 UTC,26.4,92,25.0
193255,2024-09-23 12:20:00.000000 UTC,26.4,93,25.2
193255,2024-09-23 12:25:00.000000 UTC,26.5,93,25.3
193255,2024-09-23 12:30:00.000000 UTC,26.5,92,25.1
193255,2024-09-23 12:35:00.000000 UTC,26.4,93,25.2
193255,2024-09-23 12:40:00.000000 UTC,26.3,93,25.1
193255,2024-09-23 12:45:00.000000 UTC,26.3,93,25.1
193255,2024-09-23 12:50:00.000000 UTC,26.3,93,25.1
193255,2024-09-23 12:55:00.000000 UTC,26.4,93,25.2
193255,2024-09-23 13:00:00.000000 UTC,26.3,93,25.1
193255,2024-09-23 13:05:00.000000 UTC,26.4,94,25.4
193255,2024-09-23 13:10:00.000000 UTC,26.5,93,25.3
193255,2024-09-23 13:15:00.000000 UTC,26.7,94,25.6
193255,2024-09-23 13:20:00.000000 UTC,26.7,94,25.7
193255,2024-09-23 13:25:00.000000 UTC,26.8,93,25.6
193255,2024-09-23 13:30:00.000000 UTC,27.1,92,25.6
193255,2024-09-23 13:35:00.000000 UTC,27.3,90,25.5
